ngram,freq1,freq2,LR,LL,Len_Corpus1,Len_Corpus2
birley,146,4,3.893873429455284,82.21828111956447,6752856,3083437
sphere,2353,72,3.889724624149668,1288.757124445657,6752856,3083437
continents,600,18,3.889608646552033,330.3265242724945,6752856,3083437
sinking,534,16,3.8866935948373857,294.08567416129245,6752856,3083437
farther,598,18,3.884795647789901,328.9405005387522,6752856,3083437
shadow,2211,68,3.881819020413475,1209.3575988291223,6752856,3083437
model,10074,312,3.8797498156831343,5500.0100766517135,6752856,3083437
venus,627,19,3.877111006451235,344.290163318885,6752856,3083437
balloon,626,19,3.874810056934961,343.5976894312351,6752856,3083437
flight,3001,93,3.873615069214609,1638.1632990843714,6752856,3083437
astronomy,847,26,3.8681906799358554,463.520361475648,6752856,3083437
airline,335,10,3.866893109896772,184.67015957668184,6752856,3083437
meters,717,22,3.8640235017087243,392.4223888892808,6752856,3083437
meridian,270,8,3.8610635190518243,149.12335617425282,6752856,3083437
bipolar,397,12,3.8599964368723416,218.13901393297385,6752856,3083437
dome,1439,45,3.852599009840087,783.6108941610619,6752856,3083437
lunar,1375,43,3.851838504942831,748.7530481824346,6752856,3083437
melbourne,110,3,3.849589213809176,62.01285625377007,6752856,3083437
glare,172,5,3.840062509503583,95.45881886325186,6752856,3083437
measurable,234,7,3.8355950933822065,128.92244314770133,6752856,3083437
clouds,1388,44,3.832619607327797,753.0676539475066,6752856,3083437
centrifugal,326,10,3.827663335243019,178.43670321455312,6752856,3083437
neutrino,108,3,3.823237886862224,60.61700963218908,6752856,3083437
photographs,385,12,3.8157724366156587,209.8378439839311,6752856,3083437
mph,564,18,3.8004179816194,305.4401021740716,6752856,3083437
rises,533,17,3.7991030203548073,288.70101218402635,6752856,3083437
faking,289,9,3.798533601021,157.55109974657395,6752856,3083437
velocities,135,4,3.781265616386908,74.56167808712641,6752856,3083437
brightness,165,5,3.7802973646452696,90.60267455760132,6752856,3083437
inches,460,15,3.761902612179809,247.6461484388157,6752856,3083437
observational,192,6,3.7573164939165205,104.57354087496311,6752856,3083437
observation,2146,72,3.7569029439082384,1146.0984151547395,6752856,3083437
rectangle,103,3,3.75517361191707,57.1363190289134,6752856,3083437
calculator,428,14,3.7542119754602767,230.21913604796367,6752856,3083437
occam,191,6,3.749802440259214,103.88301579051027,6752856,3083437
kepler,396,13,3.7453311300158587,212.79242736517443,6752856,3083437
stationary,600,20,3.741510007562899,321.0301486936861,6752856,3083437
propagation,160,5,3.7360394449603547,87.14461739580261,6752856,3083437
obscured,275,9,3.727022571602921,147.89975360973676,6752856,3083437
charts,303,10,3.72227685995227,162.5759771663607,6752856,3083437
moons,533,18,3.7189326716708235,284.12355619009236,6752856,3083437
mercury,330,11,3.7139860819260275,176.56658178152736,6752856,3083437
spotlight,644,22,3.709225028507325,342.1595243472707,6752856,3083437
squared,157,5,3.7088179762253306,85.07429285664833,6752856,3083437
convex,214,7,3.706984818366376,115.10956802398184,6752856,3083437
calibrated,128,4,3.7047411242269144,69.71569391664208,6752856,3083437
rotating,1155,40,3.703493118058355,611.2169893108189,6752856,3083437
measuring,898,31,3.7031363464853744,475.6603635370667,6752856,3083437
downward,299,10,3.703136346485374,159.82853498317937,6752856,3083437
objects,2547,89,3.7000922302642683,1344.3150666569263,6752856,3083437
astronauts,524,18,3.6943871734236664,277.95637637689737,6752856,3083437
width,212,7,3.693470011891894,113.73445692305037,6752856,3083437
zenith,155,5,3.690380727968654,83.69603441898224,6752856,3083437
electromagnetic,492,17,3.6837384738741212,260.5369586059043,6752856,3083437
̂,433,15,3.6747334493103083,229.12085531318752,6752856,3083437
crust,152,5,3.6622753902883,81.63168419114218,6752856,3083437
object,3859,139,3.6591185071011174,2018.3992278966116,6752856,3083437
dish,345,12,3.657727287088883,182.33911213430906,6752856,3083437
humidity,123,4,3.6474838066177138,66.26835151782538,6752856,3083437
photograph,368,13,3.6396748834069497,193.6049387281814,6752856,3083437
euclidean,176,6,3.632126231605437,93.56536597895357,6752856,3083437
neptune,121,4,3.623929078638817,64.89294422179722,6752856,3083437
ea,499,18,3.623929078638817,260.8803187906757,6752856,3083437
vacuum,1469,54,3.621966895349755,763.5815266612285,6752856,3083437
circular,714,26,3.621911323007966,372.21129922042496,6752856,3083437
disk,786,29,3.605701482529194,408.09482759657976,6752856,3083437
illuminating,171,6,3.590666624507069,90.14423095492263,6752856,3083437
daylight,381,14,3.5865998281823073,198.0663276835964,6752856,3083437
formulas,223,8,3.5857097564083267,116.77980705957503,6752856,3083437
sydney,616,23,3.5824098092005507,318.6483570932593,6752856,3083437
mi,117,4,3.575633521598036,62.14854813376145,6752856,3083437
tidal,220,8,3.56621358078253,114.73601252564728,6752856,3083437
photons,427,16,3.564428066890155,220.63549064858398,6752856,3083437
parallel,1301,50,3.556789690127666,666.8664415142978,6752856,3083437
moonlight,167,6,3.5566191436793915,87.41443452564984,6752856,3083437
orientation,319,12,3.544857507647618,164.62847558193673,6752856,3083437
cape,190,7,3.5357981683601523,98.69318343891338,6752856,3083437
continental,190,7,3.5357981683601523,98.69318343891338,6752856,3083437
pilots,342,13,3.5341142521597693,175.91803763715941,6752856,3083437
polar,569,22,3.530740511853786,291.0937998564808,6752856,3083437
orbital,763,30,3.5147885857093137,388.22303777234447,6752856,3083437
stars,4005,160,3.5103787171475593,2027.1305461157826,6752856,3083437
einstein,1056,42,3.5047276922725876,535.2813878882627,6752856,3083437
illuminate,161,6,3.5039922130281815,83.33230442129103,6752856,3083437
drift,334,13,3.500016474953341,170.50409586427162,6752856,3083437
morley,111,4,3.500016474953341,58.04911396209354,6752856,3083437
mile,1201,48,3.4997496674180875,607.8022311392856,6752856,3083437
photoshop,184,7,3.489627986927226,94.62085379579523,6752856,3083437
motionless,110,4,3.487019134424468,57.36800626282364,6752856,3083437
float,159,6,3.486014472099126,81.9751086186005,6752856,3083437
tops,208,8,3.485482308669673,106.5903467076322,6752856,3083437
phenomena,621,25,3.476226815556338,313.51856287282806,6752856,3083437
kms,182,7,3.4739036346342096,93.26655336917818,6752856,3083437
nasa,4557,187,3.472321732018602,2285.8809211965854,6752856,3083437
shape,3437,142,3.4613674656099915,1720.0917707665583,6752856,3083437
waves,1698,70,3.459535726955756,850.4193744574654,6752856,3083437
planar,107,4,3.4473094246224965,55.32855759034927,6752856,3083437
marble,107,4,3.4473094246224965,55.32855759034927,6752856,3083437
maths,465,19,3.446276715171894,233.59202070460128,6752856,3083437
rocket,1919,80,3.444639543207681,957.4336936680328,6752856,3083437
inertial,390,16,3.4338261952588747,195.648059972166,6752856,3083437
math,2226,94,3.42736104869718,1105.6711143112093,6752856,3083437
intikam,129,5,3.4264182455246055,65.94250691879598,6752856,3083437
airliner,105,4,3.4202157637402215,53.97227337023445,6752856,3083437
atmospheric,1135,48,3.4182407249951092,563.472778589042,6752856,3083437
newton,1202,51,3.4143622279495345,596.0546469498253,6752856,3083437
magnetism,151,6,3.4117758418072075,76.56509236357027,6752856,3083437
tube,384,16,3.411487245078722,191.62085112208666,6752856,3083437
differential,172,7,3.3926035325323616,86.52020477994866,6752856,3083437
ft,517,22,3.3926035325323616,256.1115530595179,6752856,3083437
distortion,649,28,3.3793372777584882,319.9452958670794,6752856,3083437
fakery,170,7,3.3757789098910025,85.17623296933297,6752856,3083437
distortions,146,6,3.3633587127565048,73.2000858670689,6752856,3083437
continent,479,21,3.3481638267913816,234.78906920382337,6752856,3083437
orbiting,702,31,3.3481160680837205,343.1994105831327,6752856,3083437
distant,902,40,3.3469746953652573,440.30428372556435,6752856,3083437
comets,122,5,3.3462478968406217,61.22400053170039,6752856,3083437
projected,299,13,3.340566267100666,146.9966405181654,6752856,3083437
astronomical,475,21,3.3360783526338142,232.12483274067614,6752856,3083437
experimentally,143,6,3.3335087850099443,71.18751543249184,6752856,3083437
surface,4552,206,3.331486906920104,2205.561648316707,6752856,3083437
perspective,5121,234,3.3179481615084305,2472.3691567989936,6752856,3083437
arctic,206,9,3.3111120344512086,101.09999935635761,6752856,3083437
craters,119,5,3.3104767658188,59.21126835216532,6752856,3083437
currents,248,11,3.302581661980622,121.05040618941119,6752856,3083437
terrestrial,226,10,3.300091393742824,110.40884057113516,6752856,3083437
hubble,118,5,3.2983532067363104,58.541698442086826,6752856,3083437
spacecraft,247,11,3.296764335385308,120.38514975474084,6752856,3083437
photo,1687,78,3.2950926144092776,810.8760741950291,6752856,3083437
greenland,225,10,3.2937077769519694,109.74339544451844,6752856,3083437
calculated,738,34,3.288971230461969,355.2071271229352,6752856,3083437
cg,117,5,3.2861269044030514,57.87281754569915,6752856,3083437
thickness,117,5,3.2861269044030514,57.87281754569915,6752856,3083437
proofs,521,24,3.2808551748799064,250.7733926922902,6752856,3083437
models,1731,81,3.2781200944414994,828.2526603495146,6752856,3083437
compass,646,30,3.2748107987227164,309.9922993138636,6752856,3083437
tunguska,137,6,3.2718896667462785,67.17779914128292,6752856,3083437
geocentric,241,11,3.261358999254109,116.4009584856181,6752856,3083437
observatory,178,8,3.2613589992541088,86.46515579813965,6752856,3083437
outer,532,25,3.253253949617054,254.1411306830251,6752856,3083437
coordinate,529,25,3.2451031084961897,252.16074297700266,6752856,3083437
predicts,341,16,3.2403892254069855,162.99375854756335,6752856,3083437
plane,3834,185,3.238588954148755,1812.8795407934958,6752856,3083437
flown,236,11,3.231175993757731,113.09073646741778,6752856,3083437
interactive,235,11,3.225062870031119,112.42981198671693,6752856,3083437
lenses,191,9,3.2023146449567204,91.14747122655568,6752856,3083437
wavelength,130,6,3.196507854904141,62.527830513894656,6752856,3083437
erroneous,130,6,3.196507854904141,62.527830513894656,6752856,3083437
readings,230,11,3.1941025608476736,109.13096232052976,6752856,3083437
theorem,109,5,3.184397017439225,52.54802963502052,6752856,3083437
saturn,288,14,3.183488089993259,135.7831863892977,6752856,3083437
below,2732,137,3.181759548622594,1272.1453739842627,6752856,3083437
sky,3641,184,3.17188170022516,1690.0957847821144,6752856,3083437
pendulum,364,18,3.169363215173336,170.45182393461226,6752856,3083437
attraction,364,18,3.169363215173336,170.45182393461226,6752856,3083437
photos,1695,86,3.1619084178640553,785.5111842688225,6752856,3083437
located,399,20,3.153541264785242,185.82451384116808,6752856,3083437
newtons,106,5,3.1443195780638895,50.56414048783475,6752856,3083437
disproves,125,6,3.1401454122850287,59.22660410319381,6752856,3083437
ocean,1301,67,3.13818557582863,599.2286734810264,6752856,3083437
